[2017-07-17 10:38:59.885] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:39:11.894] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:39:23.900] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:39:35.913] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:39:47.925] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:39:59.939] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:40:11.948] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:40:23.959] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:40:35.969] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:40:47.974] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:40:59.985] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:41:11.989] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:41:24.003] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:41:36.004] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:41:48.016] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:42:00.027] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:42:12.037] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:42:24.047] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:42:36.053] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:42:48.058] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:43:00.066] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:43:12.071] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:43:24.074] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:43:36.088] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:43:48.091] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:44:00.098] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:44:12.112] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:44:24.115] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:44:36.118] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:44:48.131] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:45:00.143] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:45:12.146] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:45:24.149] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:45:36.160] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:45:48.166] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:46:00.172] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:46:12.185] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:46:24.198] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:46:36.204] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:46:48.210] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:47:00.221] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:47:12.233] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:47:24.237] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:47:36.240] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:47:48.244] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:48:00.247] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:48:12.252] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:48:24.265] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:48:36.269] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:48:48.283] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:49:00.288] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:49:12.293] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:49:24.301] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:49:36.310] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:49:48.313] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:50:00.324] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:50:12.337] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:50:24.341] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:50:36.353] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:50:48.367] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:51:00.371] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:51:12.379] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:51:24.382] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:51:36.389] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:51:48.403] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:52:00.415] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:52:12.420] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:52:24.430] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:52:36.440] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:52:48.453] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:53:00.463] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:53:12.464] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:53:24.467] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:53:36.471] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:53:48.482] [INFO] normal - Currently, connection number is: 2
